column,dtype
Rndrng_NPI,int64
Rndrng_Prvdr_Last_Org_Name,object
Rndrng_Prvdr_First_Name,object
Rndrng_Prvdr_MI,object
Rndrng_Prvdr_Crdntls,object
Rndrng_Prvdr_Gndr,object
Rndrng_Prvdr_Ent_Cd,object
Rndrng_Prvdr_St1,object
Rndrng_Prvdr_St2,object
Rndrng_Prvdr_City,object
Rndrng_Prvdr_State_Abrvtn,object
Rndrng_Prvdr_State_FIPS,int64
Rndrng_Prvdr_Zip5,int64
Rndrng_Prvdr_RUCA,float64
Rndrng_Prvdr_RUCA_Desc,object
Rndrng_Prvdr_Cntry,object
Rndrng_Prvdr_Type,object
Rndrng_Prvdr_Mdcr_Prtcptg_Ind,object
HCPCS_Cd,object
HCPCS_Desc,object
HCPCS_Drug_Ind,object
Place_Of_Srvc,object
Tot_Benes,int64
Tot_Srvcs,int64
Tot_Bene_Day_Srvcs,int64
Avg_Sbmtd_Chrg,float64
Avg_Mdcr_Alowd_Amt,float64
Avg_Mdcr_Pymt_Amt,float64
Avg_Mdcr_Stdzd_Amt,float64
