column,missing_count,missing_percentage
Rndrng_Prvdr_RUCA,334,0.11
Rndrng_Prvdr_Last_Org_Name,0,0.0
Rndrng_Prvdr_First_Name,0,0.0
Rndrng_Prvdr_MI,0,0.0
Rndrng_NPI,0,0.0
Rndrng_Prvdr_Gndr,0,0.0
Rndrng_Prvdr_Ent_Cd,0,0.0
Rndrng_Prvdr_St1,0,0.0
Rndrng_Prvdr_St2,0,0.0
Rndrng_Prvdr_City,0,0.0
Rndrng_Prvdr_State_Abrvtn,0,0.0
Rndrng_Prvdr_State_FIPS,0,0.0
Rndrng_Prvdr_Crdntls,0,0.0
Rndrng_Prvdr_Zip5,0,0.0
Rndrng_Prvdr_RUCA_Desc,0,0.0
Rndrng_Prvdr_Cntry,0,0.0
Rndrng_Prvdr_Type,0,0.0
Rndrng_Prvdr_Mdcr_Prtcptg_Ind,0,0.0
HCPCS_Cd,0,0.0
HCPCS_Desc,0,0.0
HCPCS_Drug_Ind,0,0.0
Place_Of_Srvc,0,0.0
Tot_Benes,0,0.0
Tot_Srvcs,0,0.0
Tot_Bene_Day_Srvcs,0,0.0
Avg_Sbmtd_Chrg,0,0.0
Avg_Mdcr_Alowd_Amt,0,0.0
Avg_Mdcr_Pymt_Amt,0,0.0
Avg_Mdcr_Stdzd_Amt,0,0.0
