HCPCS_Cd,HCPCS_Desc,Provider_Count,Service_Records,Total_Beneficiaries,Total_Services,Avg_Medicare_Payment,Avg_Submitted_Charge,Avg_Allowed_Amount
K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",972,972,677775,5958089,10.708046159816668,12.178119490006377,10.708046159816668
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",357,357,35491,3369932,0.09032305306778711,2.1842866957462186,0.11543361402885155
99214,"Established patient office or other outpatient visit, 30-39 minutes",14647,14667,1707884,2920533,81.10232704684528,255.6897691657422,115.32383633882
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,5,5,14128,2768799,1.0136656942,1.45036785508,1.0136656942
A0425,"Ground mileage, per statute mile",254,254,143875,2512664,7.283999326930709,18.431569262797247,9.132823182470473
99213,"Established patient office or other outpatient visit, 20-29 minutes",14352,14360,1426172,2212178,56.967272472370794,174.83235490145995,81.96931537227167
J1439,"Injection, ferric carboxymaltose, 1 mg",46,46,1644,2125478,0.8832900720152174,3.2915869220934786,1.1115348084152175
J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",23,23,677,1728442,4.480104460256522,15.587208786152175,5.636579483517392
97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",2237,2237,137632,1699644,18.683401643219312,69.38079753103844,24.25417637321502
A9575,"Injection, gadoterate meglumine, 0.1 ml",107,107,11004,1613316,0.11170887762523365,2.1021935069635513,0.1411737041738318
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",35,35,1369,1357111,0.6401898208457143,3.7792800424599995,0.8094405446085714
J0878,"Injection, daptomycin, 1 mg",7,7,136,1356552,0.04744669401428571,1.7734314480857143,0.05927349225714286
J0897,"Injection, denosumab, 1 mg",304,304,11358,1244244,16.721962375967436,41.21286737279836,21.208269379380592
99232,"Follow-up hospital inpatient care per day, typically 25 minutes",5123,5123,382292,1101807,55.103334018058895,198.38174830044719,69.57165498453406
J9271,"Injection, pembrolizumab, 1 mg",63,63,1405,1019765,42.03302684347619,129.9120182226508,52.66962695815873
J0881,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",37,37,1189,997077,2.4984342186513513,13.594555526372973,3.155232307581081
J0585,"Injection, onabotulinumtoxina, 1 unit",96,96,2166,892570,4.793649828236458,14.243657768207292,6.058529220816666
85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",1013,1013,470315,876714,7.6251598849552815,33.0929177412082,7.6251598849552815
36415,Insertion of needle into vein for collection of blood sample,2546,2546,454562,870827,2.9496342861769445,15.08873278190593,2.9496342861769445
97530,Therapy procedure using functional activities,1642,1642,83491,848127,26.46372348645006,72.9031850837095,34.08256755590438
97140,"Therapy procedure using manual technique, each 15 minutes",1892,1892,94375,813988,16.600418340934514,65.4919402200777,21.521571853567124
97112,"Therapy procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",1695,1695,83123,756895,22.8123451719646,70.72999220509027,29.44804057742832
99233,"Follow-up hospital inpatient care per day, typically 35 minutes",4103,4103,301699,735416,80.03283281804484,296.9002528025257,100.76418227338216
J1071,"Injection, testosterone cypionate, 1 mg",24,24,705,732714,0.018947912375,4.397517099408334,0.026838715116666665
J1602,"Injection, golimumab, 1 mg, for intravenous use",34,34,1017,658588,11.687980840147059,51.52568281085294,14.698892787529411
80053,"Blood test, comprehensive group of blood chemicals",742,742,331586,588433,10.359026815560782,46.15265167707143,10.359026815560782
17003,"Destruction of precancer skin growth, 2-14 growths",557,557,96721,568219,4.6523065870825855,25.162129400017594,6.275296242085637
J7328,"Hyaluronan or derivative, gelsyn-3, for intra-articular injection, 0.1 mg",30,30,975,556337,1.5858897363433333,5.393076014813333,2.005853655543333
A9585,"Injection, gadobutrol, 0.1 ml",93,93,6414,544250,0.25750462513440864,3.637898364954839,0.325588520355914
80061,"Blood test, lipids (cholesterol and triglycerides)",687,687,400871,541798,13.157639600433772,56.517749818851534,13.157639600433772
J3262,"Injection, tocilizumab, 1 mg",15,15,268,533485,4.5780507186,12.241639944753333,5.756031658653333
83036,Hemoglobin a1c level,1419,1419,342179,519355,9.514764250522198,38.96290704554954,9.514764250522198
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",1164,1164,69038,498385,0.8317008398630584,10.796769701723369,1.1296315807131443
G0008,Administration of influenza virus vaccine,3729,3729,478051,481862,26.829691556133653,40.07580441565208,26.829691556133653
J1453,"Injection, fosaprepitant, 1 mg",39,39,1105,471000,0.13580343503076922,4.543840299520513,0.17174880754102564
