Rndrng_Prvdr_Type,Provider_Count,Service_Records,Total_Beneficiaries,Total_Services,Avg_Services_Per_Record,Avg_Medicare_Payment,Avg_Submitted_Charge
Clinical Laboratory,1192,3321,4479447,13546324,4078.9894610057213,36.47146454789434,111.04433342645791
Hematology-Oncology,2839,4645,302716,7685787,1654.6365984930032,57.008220523057055,221.1459917062597
Diagnostic Radiology,18165,34067,2319804,6319038,185.48853729415563,46.37175229067607,306.0963338031461
Physical Therapist in Private Practice,10132,10922,519902,4255931,389.6659036806446,30.947872192474197,89.40356866441691
Rheumatology,1389,1941,140485,4253247,2191.2658423493044,46.61006758294492,158.12740792368592
Internal Medicine,20755,26193,1876898,3814319,145.6236017256519,67.03342612152106,215.00176388019864
Ambulance Service Provider,887,932,349934,3214865,3449.425965665236,308.5495783519086,1330.956431817447
Nurse Practitioner,22560,25430,1325620,3060004,120.3304758159654,53.284092418817075,202.91380818768118
Family Practice,19111,24261,1527873,2778922,114.54276410700301,55.16985845126729,161.3185857749467
Medical Oncology,954,1470,82957,2029752,1380.7836734693878,58.729239861325304,239.38920447189426
Physician Assistant,13654,15717,826259,1843648,117.30279315390978,56.41542625037366,335.1067376913524
Ophthalmology,5492,6833,860998,1664422,243.5858334552905,125.80166667919524,485.3778593977807
Cardiology,8097,11519,1076824,1621388,140.75770466186302,90.5189831282543,378.6100799814556
Infectious Disease,957,1077,79452,1554716,1443.5617455896008,86.35189325299675,281.2928821074094
Orthopedic Surgery,6301,7881,478659,1388165,176.1407181829717,155.87837346420238,882.9705527279086
Centralized Flu,1884,2087,480375,1342943,643.4801149976042,49.69936356685788,68.03645284321438
Independent Diagnostic Testing Facility (IDTF),577,975,127891,1341063,1375.4492307692308,123.25014461663876,985.8935492645941
Dermatology,4596,6181,649085,1328006,214.85293641805532,108.40498403237261,343.90603562678535
Mass Immunizer Roster Biller,5662,6303,666677,1263149,200.40441059812787,51.87536699007644,59.37494489005278
Urology,3537,4941,405324,1208923,244.67172637117991,109.20142200300792,507.5998073151008
Neurology,3265,3815,210424,1061881,278.34364351245085,100.35917590607583,401.2596479271219
Pathology,3463,4356,446707,870590,199.8599632690542,37.32524037611497,195.27526901661065
Physical Medicine and Rehabilitation,1995,2493,164892,810197,324.98876855194544,85.68216060354533,466.4705412177943
Podiatry,4355,5252,396747,797266,151.8023610053313,59.53795966502906,161.99667278465108
Nephrology,2413,2956,194793,665725,225.21143437077131,114.74435575605476,367.23211687487066
Emergency Medicine,6207,6828,560683,650345,95.24677797305213,93.12223619492846,673.3448696762728
Ambulatory Surgical Center,1412,1751,134356,647640,369.8686464877213,1098.8630293214349,6443.467324209567
Optometry,4760,5257,373637,553176,105.22655506943123,54.393766675761135,138.69528995103025
Chiropractic,1293,1301,62566,508815,391.09531129900074,25.278236656635666,56.99745546088931
Allergy/ Immunology,676,771,35023,471787,611.9156939040207,46.431970847455,136.59118238134292
Gastroenterology,4110,4976,273700,467891,94.02954180064309,106.31287588152965,627.506617067448
Anesthesiology,5686,6512,202604,447335,68.69394963144963,103.06427810005137,1239.9756537081357
Occupational Therapist in Private Practice,1136,1207,42065,438549,363.3380281690141,32.508333141587904,95.12369494126926
Pulmonary Disease,2981,3634,243768,412568,113.52999449642267,74.42021797440485,294.2401057306322
Endocrinology,1316,1620,151685,369779,228.25864197530865,58.22506458796506,197.93511629452257
