Rndrng_Prvdr_State_Abrvtn,Provider_Count,Total_Services,Total_Beneficiaries,Avg_Medicare_Payment,Avg_Submitted_Charge
CA,18563,10168787,2319342,96.10540020173484,455.25815086903435
FL,16147,8230753,2498082,99.23365413992146,463.92081414208343
IL,9405,7009883,1379231,78.38127401153875,414.34134261824767
TX,15836,4634844,1603144,84.6145453766832,469.19293907748965
NY,14905,4603513,1438034,87.93907732431052,472.5878681431192
NJ,7364,2758625,995653,83.47693676869841,478.6943641567642
NC,8020,2749911,833182,68.90593406970038,335.2812115257799
PA,10825,2600613,935655,82.25015178160197,343.48992823041095
MI,7203,2438072,545017,73.28449650303426,325.469980137795
AZ,5002,2353554,786993,97.05071849722769,464.00845703861313
TN,5808,2165809,607568,74.64591591458876,345.753601956083
VA,6283,2131367,638432,83.5035376173103,367.7037064262372
MD,5260,1946664,609169,87.61323014315012,366.9242475826277
GA,6713,1711189,675782,80.58619631189471,434.57638191096385
OH,8565,1556833,702940,74.82859757556106,321.2626745862261
MA,6760,1436368,679731,76.7639578004784,367.10629055745653
SC,4067,1382803,461196,70.50719189282198,340.15916332367897
IN,4853,1314651,437285,91.67224052685032,443.97460416115996
MO,4567,1267928,408123,72.96215118389543,350.4712767611571
AL,3730,1266100,373086,69.31325101130496,290.1080734043338
KY,3332,1133310,303771,72.19146884896281,333.6682318585645
OK,2764,994778,350792,74.10564941591946,320.53782014014246
AR,2327,977381,235801,76.6706149637948,288.523170612872
CO,3600,950535,278037,87.25769056839025,416.3210027854383
MN,4727,944856,317054,67.0012631714652,367.01554194687486
ID,1089,938482,303269,69.31181155561043,284.23103334768166
WA,4780,889497,409127,79.9923306865195,329.44666637635135
LA,3222,862522,267759,72.3004885072835,371.59130422115214
KS,2322,799272,278975,75.26553477460902,346.31678331930686
MS,2243,735098,256178,87.09540329965522,412.53637259411545
NV,1728,705796,212099,91.17329993006325,486.7439804347652
WI,4216,690282,308335,70.75978511525564,603.2569527992986
CT,2945,645692,222422,81.91568479512834,394.6883679375345
IA,2434,642550,224280,67.6084208339258,303.9071481499277
OR,2467,625984,181416,92.7549299222751,393.4592978488214
NE,1774,559907,166464,67.8296823653676,317.09026796630303
NM,1090,433177,121068,79.81923834100066,381.04862481588475
UT,1726,357565,130929,80.86990571904546,323.7194189450419
WV,1284,297742,103869,67.49170063131254,295.4022020759504
DE,904,290952,99227,102.54053913055324,410.2011120878044
AK,491,212738,33543,93.79691450981974,671.2787586992272
NH,1338,211829,105942,72.68732011896883,435.08920011650275
ME,981,193040,61580,59.741879860885035,249.97101237276289
MT,848,187877,66197,73.62447745159363,308.1308541869061
RI,794,171701,65304,78.16349152388578,342.4592118358199
HI,670,162632,78905,86.22120485692452,316.1484635605251
DC,663,159462,51630,93.01070035617244,415.8378493876628
SD,823,140088,66358,70.20617600697607,342.87302469848555
ND,639,127919,69348,64.49207915749332,300.8775114017763
WY,431,107633,35320,72.0448982680593,383.43441846465896
VT,466,80552,38724,67.71702974939416,288.8602009299324
PR,498,71219,27453,51.94140555406616,122.51419312109778
GU,45,43374,3073,83.20503301693334,265.93133854623335
VI,39,7995,3076,60.69925109626458,255.98685066223334
XX,7,1485,617,92.48755659121667,326.3881056825
AE,9,915,375,72.33044606188889,337.7431228045555
AP,5,682,645,93.3413996236,504.0
ZZ,11,635,503,73.84008210401333,856.3931945489334
MP,5,461,379,106.651280742125,1142.1853041625
AA,2,358,335,39.765865962175,234.5334719325
